event_id,well_id,pad_id,event_time,current_lift_mode,before_liquid_rate_m3d,before_gas_rate_e3m3d,before_watercut_pct,before_tubing_pressure_kpa,before_casing_pressure_kpa,before_line_pressure_kpa,before_production_volatility,before_arrival_reliability_pct,before_missed_arrivals_7d,current_gas_injection_e3m3d,current_afterflow_min,current_close_time_min,action_delta_gas_e3m3d,action_delta_afterflow_min,action_delta_close_time_min,days_since_last_change,data_quality_score,downtime_flag,facility_constraint_flag,high_watercut_regime,liquid_loading_risk_score,event_quality_label,target_delta_liquid_48h_m3d
EVT_0113,WELL_07,PAD_3,2024-11-02,gas_assisted_plunger,19.13,37.54,48.6,1593,3984,899,1.077,78,1,15.29,37,87,-2.24,-2.6,-6.2,6,0.793,0,0,0,0.684,clean,-0.77
EVT_0116,WELL_03,PAD_1,2024-11-02,plunger_assisted_gas_lift,18.67,41.08,32.5,2870,3820,,1.505,,0,33.9,67.2,104.9,-2.5,-1.7,-1.1,2,0.874,0,0,0,0.703,clean,-2.24
EVT_0119,WELL_09,PAD_3,2024-11-05,gas_assisted_plunger,20.31,85.24,54.8,1782,5114,908,1.479,,1,29.02,41.6,106,0.68,1.9,-9.1,14,0.877,0,0,0,0.886,clean,1.01
EVT_0124,WELL_12,PAD_4,2024-11-11,gas_assisted_plunger,19.43,65.29,55.5,2798,4496,1030,0.964,77.9,3,25.24,45.4,36.7,0.08,8.4,-2.2,19,0.871,0,0,0,0.799,clean,0.72
EVT_0120,WELL_02,PAD_1,2024-11-13,gas_lift,43.76,48.92,27.6,2498,3608,994,0.601,85.5,1,28.51,21.1,63,4.11,2.8,-1,8,0.883,0,0,0,0.397,clean,-1.34
EVT_0127,WELL_03,PAD_1,2024-11-14,plunger_assisted_gas_lift,22.86,49.22,38.5,2535,5000,1325,2.075,61.7,4,41.91,40.9,57.7,-1.01,-8.8,-17.8,2,0.873,0,0,0,1,clean,3.08
EVT_0123,WELL_08,PAD_3,2024-11-19,gas_assisted_plunger,9.81,23.92,31,2168,4240,925,1.6,66.9,6,22.25,44.1,103.5,5.38,11.7,-22.1,6,0.868,0,0,0,1,clean,1.95
EVT_0126,WELL_12,PAD_4,2024-11-20,gas_lift,15.1,87.27,47.5,2524,4664,1520,1.314,91.9,1,55.53,27.3,55.4,4.04,-1.7,-5.7,30,0.839,0,0,0,0.734,clean,0.45
EVT_0128,WELL_02,PAD_1,2024-11-22,gas_lift,36.16,69.15,44.4,1955,4172,1194,0.761,85.8,0,27.91,21.2,52.5,3.07,-0.4,1.6,2,0.836,0,0,0,0.477,clean,-2.01
EVT_0125,WELL_01,PAD_1,2024-11-25,gas_lift,47.23,65.62,65.3,1463,4495,1366,1.496,92.8,0,30.82,53.8,66,3.86,1.1,2.5,4,0.873,0,0,0,0.825,clean,-0.74
EVT_0130,WELL_11,PAD_4,2024-11-30,plunger_dominant,11.8,46.44,57.8,2072,3851,1084,1.325,77.9,1,23.23,39.4,106.6,-4.44,1.1,12,13,0.86,0,0,0,0.817,clean,-3.1
EVT_0129,WELL_07,PAD_3,2024-12-03,plunger_dominant,25.69,35.58,66.6,2844,4160,1118,1.889,84.7,2,27.67,50.7,92.7,8.83,1.3,-10.7,11,0.929,0,0,0,1,clean,1.86
EVT_0132,WELL_10,PAD_4,2024-12-06,gas_assisted_plunger,39.24,37.04,68.7,2184,3693,976,4.204,38,9,26.29,38.9,21.2,2.33,-0.2,-1.2,7,0.882,0,0,0,1,low_quality,10.45
EVT_0135,WELL_07,PAD_3,2024-12-12,gas_assisted_plunger,27.44,41.79,58.9,2335,4264,976,1.355,71.9,1,16.25,37.9,45.9,3.86,6.3,14.3,2,0.868,0,0,0,0.845,clean,0.78
EVT_0134,WELL_10,PAD_4,2024-12-13,gas_assisted_plunger,30,51.7,40.7,1993,4324,1209,1.427,68.3,2,29.03,49,76.4,-8.17,3.3,-7.9,30,0.891,0,0,0,0.846,clean,-3.36
EVT_0131,WELL_04,PAD_2,2024-12-15,plunger_assisted_gas_lift,23.07,49.49,14.1,2433,4067,941,0.447,90.8,1,37.13,43.3,110.6,-9.88,-5.3,10.4,32,0.933,0,0,0,0.265,clean,-2.73
EVT_0133,WELL_03,PAD_1,2024-12-17,plunger_assisted_gas_lift,13.41,61.91,26.9,2811,4721,1132,1.686,71.1,3,12.63,48.2,69.1,-6.42,4.2,7.6,35,0.73,0,0,0,0.922,low_quality,-0.89
EVT_0138,WELL_01,PAD_1,2024-12-20,plunger_assisted_gas_lift,38.53,51.7,57.2,2391,3780,1119,1.484,65.4,2,35.74,44,100.4,1.88,1.8,8,107,0.716,1,0,0,0.955,contaminated,-6.41
EVT_0136,WELL_07,PAD_3,2024-12-25,gas_assisted_plunger,21.53,26.4,52.9,1745,3652,1147,1.055,73.5,0,47.23,61.2,110.1,-4.01,17.2,19.5,5,0.871,0,0,0,0.647,clean,-2.76
EVT_0140,WELL_02,PAD_1,2024-12-26,gas_lift,47.42,82.72,39.2,2306,4144,895,1.784,93.2,1,48.16,31.3,62.6,-2.99,2.8,0.3,32,0.676,0,0,0,0.854,contaminated,-0.96
EVT_0141,WELL_10,PAD_4,2024-12-26,gas_assisted_plunger,26.42,37.46,39.9,3051,3896,1280,1.677,68,4,14.04,26.7,120.8,10.85,7.2,0.3,27,0.885,0,0,0,1,low_quality,3.37
EVT_0142,WELL_09,PAD_3,2024-12-27,gas_lift,13.11,46.41,60.3,1756,3634,1099,1.184,90.2,2,33.9,33.5,57.9,-2.25,1.7,7.7,24,0.908,0,0,0,0.815,low_quality,-2.94
EVT_0146,WELL_04,PAD_2,2024-12-30,gas_lift,7.38,55.57,40.5,2162,3691,1093,2.057,88.8,3,16.94,28,58.2,-5.07,-6.8,-3.7,10,0.77,0,1,0,1,low_quality,-5.87
EVT_0139,WELL_05,PAD_2,2025-01-01,gas_assisted_plunger,24.18,38.1,43.5,3105,3338,985,1.139,58.8,2,34.53,53.5,95.2,9.26,8,20.4,9,0.706,0,1,0,0.778,low_quality,1.74
EVT_0143,WELL_10,PAD_4,2025-01-02,plunger_assisted_gas_lift,33.89,37.86,43.7,1439,3277,1036,2.538,,4,15.8,52.7,20,8.28,8.6,2.5,2,0.961,0,0,0,1,clean,2.13
EVT_0144,WELL_03,PAD_1,2025-01-04,gas_lift,24.91,46.32,31.8,1605,4400,883,1.811,82.5,0,38.3,12.8,14.6,1.94,4.6,0.3,13,0.852,0,0,0,0.788,clean,0.56
EVT_0137,WELL_03,PAD_1,2025-01-04,plunger_assisted_gas_lift,15.56,50.23,46.1,2085,4004,1123,1.796,81.8,3,12.79,47.4,66.2,1.75,6.1,13.5,6,0.757,0,0,0,1,clean,-0.53
EVT_0148,WELL_11,PAD_4,2025-01-06,plunger_assisted_gas_lift,21.57,32.35,51.3,2696,3567,1195,1.294,82.7,2,38.42,37.1,107.9,1.67,-1.9,-14.9,11,0.741,0,0,0,0.824,clean,0.97
EVT_0149,WELL_03,PAD_1,2025-01-08,gas_assisted_plunger,22.19,33.45,36.6,2468,4610,1239,0.854,69.7,7,46.82,40,78.3,2.36,-5.7,13.2,24,0.879,0,0,0,0.922,clean,-0.41
EVT_0145,WELL_03,PAD_1,2025-01-12,plunger_assisted_gas_lift,18.37,48.15,44.4,2160,3916,891,1.863,86.5,0,27.07,33.1,73,-5.36,5.6,-15.7,67,0.752,0,0,0,0.861,clean,-2.72
EVT_0151,WELL_02,PAD_1,2025-01-16,gas_lift,34.79,66.88,54.9,2921,4827,1282,1.702,83.6,1,54.76,35.5,31.1,1.57,-1.6,-2.6,12,0.914,0,0,0,0.923,clean,-1.58
EVT_0150,WELL_08,PAD_3,2025-01-18,gas_assisted_plunger,13.05,50.79,37.1,2101,3780,874,1.407,82.2,0,0,45.6,92.4,-3.26,-9.3,-16,16,0.82,0,1,0,0.674,low_quality,-0.59
EVT_0154,WELL_12,PAD_4,2025-01-22,plunger_dominant,22.1,66.31,70.9,2357,4036,1277,1.343,73.3,2,31.85,34.1,69.7,-8.03,-14.5,22.3,42,0.77,0,1,1,0.958,contaminated,-10.29
EVT_0153,WELL_04,PAD_2,2025-01-23,plunger_assisted_gas_lift,18.74,48.27,46.2,2957,4848,897,1.867,74.5,3,35.29,38.4,44.5,-3.29,1.1,-1.4,24,0.793,0,1,0,1,low_quality,-1.94
EVT_0147,WELL_07,PAD_3,2025-01-26,gas_assisted_plunger,20.23,34.45,73.2,1429,3373,947,1.23,78,2,0,38.4,129.9,-0.01,5.7,-6.6,1,0.797,0,0,1,0.92,clean,-0.69
EVT_0160,WELL_04,PAD_2,2025-02-03,plunger_assisted_gas_lift,25.01,52.12,29.2,2035,4485,1099,0.641,87.3,1,51.35,42.3,103.9,-7.51,5.6,6.2,69,0.92,0,0,0,0.416,clean,-1.59
EVT_0152,WELL_09,PAD_3,2025-02-03,gas_lift,19.23,35.96,55.9,1884,4364,1142,3.169,85.2,1,33.76,33.3,18.2,-5.39,0.1,-5.5,23,0.652,0,0,0,1,contaminated,-7.25
EVT_0158,WELL_04,PAD_2,2025-02-04,gas_assisted_plunger,18.13,52.61,31.7,2093,4883,924,1.587,70.4,1,25.32,22.7,58.2,-6.86,7.6,6.3,2,0.841,0,0,0,0.793,clean,-3.18
EVT_0156,WELL_08,PAD_3,2025-02-09,gas_assisted_plunger,19.82,5.21,37.5,2487,3520,855,1.601,60.8,2,14.68,37,135.9,8.1,0.3,-5.7,1,0.781,0,1,0,0.906,contaminated,1.77
EVT_0157,WELL_10,PAD_4,2025-02-14,gas_assisted_plunger,35.7,43.25,33.9,2505,3937,1049,3.321,59,2,32.75,31.1,142.7,-3.11,-3.8,8.6,22,0.817,0,0,0,1,clean,-6.69
EVT_0155,WELL_05,PAD_2,2025-02-16,gas_lift,22.67,40.71,37.5,2341,3480,1065,2.284,86.4,1,13.46,22.8,73.7,-6.4,5.5,-2.9,23,0.826,0,0,0,1,clean,-1.02
EVT_0159,WELL_10,PAD_4,2025-02-18,gas_assisted_plunger,23.78,45.47,50,2879,3372,1191,1.075,78.7,0,22.42,42.5,40.6,15.18,-5.4,-18.4,73,0.95,0,0,0,0.629,clean,3.56
EVT_0161,WELL_10,PAD_4,2025-02-20,gas_lift,25.52,40.3,42.3,2941,3314,941,1.76,92.1,1,32.91,15.3,60.2,5.63,-3.5,-1,21,0.989,0,0,0,0.863,low_quality,4.36
EVT_0165,WELL_05,PAD_2,2025-02-28,gas_assisted_plunger,26.01,18.08,82,2493,3434,863,1.286,70.4,1,32.15,39.1,104.6,3.38,8,16.5,27,0.843,0,0,1,0.939,clean,0.79
EVT_0162,WELL_04,PAD_2,2025-03-03,plunger_assisted_gas_lift,15.48,42.78,44.8,2741,3880,1096,1.543,73.8,5,33.2,35,102.4,3.65,-8.1,-4.5,1,0.934,0,0,0,1,clean,-4.49
EVT_0169,WELL_04,PAD_2,2025-03-06,plunger_assisted_gas_lift,19.66,52.87,20.6,2861,3925,,0.682,79.2,2,25.51,51.4,99.6,-2.82,2,9.7,3,0.812,0,0,0,0.463,clean,-0.89
EVT_0163,WELL_09,PAD_3,2025-03-07,gas_lift,19.45,39.27,61.8,2284,4411,1213,1.067,96.4,0,32.1,24.7,28.4,-0.34,0.7,-6.8,21,0.907,0,0,0,0.65,clean,0.21
EVT_0164,WELL_12,PAD_4,2025-03-10,gas_assisted_plunger,11.69,71.6,51.6,1920,5028,1438,2.085,72.2,3,44.86,56.2,81.3,1.21,4.2,-11.7,3,0.797,0,0,0,1,clean,2.04
EVT_0166,WELL_06,PAD_2,2025-03-11,plunger_assisted_gas_lift,31.02,79.28,65.8,2061,4607,1361,1.631,60.2,0,51.95,34.7,120.7,-2.56,9.5,0.6,12,0.522,1,0,0,0.94,contaminated,6.4
EVT_0168,WELL_06,PAD_2,2025-03-15,plunger_dominant,36.58,81.89,80.3,1919,4606,1192,2.514,56.2,6,55.09,40.2,66.5,6.16,-5.8,-34,27,0.712,0,0,1,1,clean,2.22
EVT_0172,WELL_09,PAD_3,2025-03-15,gas_assisted_plunger,24.8,51.99,54.9,2439,3529,978,2.626,49.1,3,25.91,41.6,128.6,6.04,8.2,12,5,0.741,0,0,0,1,clean,0.59
EVT_0167,WELL_02,PAD_1,2025-03-19,plunger_assisted_gas_lift,42.78,66.66,31.2,1785,4124,1141,1.959,51.4,,34.45,39.8,94.7,0.04,9.8,-3.5,18,0.832,0,0,0,1,clean,6.37
EVT_0174,WELL_05,PAD_2,2025-03-22,plunger_assisted_gas_lift,25.64,10.37,52.3,2208,3973,1029,0.753,85.3,0,21.08,39.4,123.7,3.92,13.5,3.2,17,0.931,0,0,0,0.514,clean,0.61
EVT_0170,WELL_07,PAD_3,2025-03-26,gas_assisted_plunger,26.74,25.94,54,2399,4155,1093,1.856,69.6,0,30.64,22.9,84.7,12.52,-9.9,-12.4,12,0.845,0,0,0,0.94,clean,4.55
EVT_0173,WELL_06,PAD_2,2025-03-27,plunger_dominant,33.73,50.15,89.5,2799,4030,899,1.46,74.1,7,42.07,42.9,64.4,-2.64,20.3,-0.5,54,0.768,0,0,1,1,clean,0.14
EVT_0177,WELL_01,PAD_1,2025-03-27,gas_lift,38.7,49.94,58.2,2774,5545,1309,1.191,94.1,0,45.69,25.6,62.2,2.77,-2.5,2.6,8,0.862,0,0,0,0.68,clean,3.45
EVT_0178,WELL_12,PAD_4,2025-04-03,plunger_assisted_gas_lift,14.45,66.86,66.7,1909,3977,1284,3.028,50.5,4,40.95,32,105.1,-18.89,-2.5,-24.4,10,0.719,0,0,0,1,clean,-15.5
EVT_0175,WELL_05,PAD_2,2025-04-03,gas_lift,25.88,22.85,49.1,3300,4166,838,1.683,87.2,0,24.78,16.3,54.8,-6.42,0,-7.7,13,0.706,0,1,0,0.82,low_quality,-7.24
EVT_0171,WELL_03,PAD_1,2025-04-03,gas_assisted_plunger,22.14,49.87,39.8,1982,5086,1246,2.348,84.5,3,26.13,20.2,125.2,1.28,0.8,3.6,13,0.783,1,0,0,1,contaminated,-0.28
EVT_0176,WELL_05,PAD_2,2025-04-03,gas_assisted_plunger,22.58,8.94,63.8,1797,4821,903,1.645,75.3,0,19.74,50,85.2,3.55,2,0.1,10,0.966,0,0,0,0.904,clean,-0.25
EVT_0181,WELL_11,PAD_4,2025-04-05,gas_assisted_plunger,18.47,51.04,68.9,3096,4383,1028,1.605,65.4,2,32.19,33.3,88.6,-3.58,1.2,0.5,14,0.916,0,0,0,1,clean,-4.45
EVT_0180,WELL_04,PAD_2,2025-04-07,gas_assisted_plunger,5.68,38.81,25.9,1223,3534,1040,0.837,75.1,1,23.99,39.6,49.7,7.7,2.9,0.4,35,0.732,0,1,0,0.492,contaminated,-1.63
EVT_0187,WELL_01,PAD_1,2025-04-11,gas_assisted_plunger,44.62,47.53,52.9,2138,4483,1465,1.664,63.1,6,31.51,44,55.4,4.14,2.3,-7.6,11,0.619,0,1,0,1,clean,2.68
EVT_0184,WELL_03,PAD_1,2025-04-12,plunger_assisted_gas_lift,26.74,32.1,37,2455,3715,1040,0.814,69.2,3,29.37,37.2,51.7,16.1,-10.7,-3.4,3,0.823,0,0,0,0.671,clean,2.66
EVT_0179,WELL_05,PAD_2,2025-04-13,plunger_dominant,21,38.38,44.7,1980,3775,945,1.798,,5,21.37,50.7,53.2,-6.95,5.4,-13,29,0.783,0,0,0,1,clean,-2.11
EVT_0182,WELL_05,PAD_2,2025-04-18,gas_assisted_plunger,23.69,2,31.3,2453,4193,938,2.023,61.9,3,16.23,22.7,74.3,-1.61,-1.5,-18,10,0.733,0,0,0,1,clean,-5.08
EVT_0183,WELL_06,PAD_2,2025-04-19,gas_assisted_plunger,38.86,56.93,80.1,2732,3808,1046,1.118,68,2,43.8,27.4,114.6,8.76,5.3,1.2,7,1,0,0,1,0.936,clean,3.18
EVT_0185,WELL_09,PAD_3,2025-04-20,plunger_dominant,20.82,27.06,44.2,2748,3432,1084,1.51,73.4,1,31.3,41.3,68.7,-2.98,1.7,9.2,9,0.786,0,1,0,0.823,low_quality,-5.57
EVT_0188,WELL_01,PAD_1,2025-04-27,gas_lift,44.18,36.81,43.5,2677,4670,965,1.46,87.4,0,25.37,28.6,32.2,-1.3,1,-3.5,35,0.968,0,0,0,0.714,clean,4.17
EVT_0190,WELL_07,PAD_3,2025-05-02,gas_assisted_plunger,33.57,19.6,53.8,1678,3836,1130,3.31,63.6,3,11.56,33.3,119.7,8.47,1.8,6,2,0.863,0,0,0,1,clean,3.27
EVT_0186,WELL_06,PAD_2,2025-05-03,plunger_dominant,28.46,67.36,71.6,2156,4209,1417,1.301,83.4,0,35.71,70.2,85.1,-5.55,3.6,-9.1,65,0.96,0,0,1,0.807,clean,-6.07
EVT_0191,WELL_05,PAD_2,2025-05-06,plunger_assisted_gas_lift,25.63,7.73,53.1,2311,4210,948,0.928,75.5,0,10.85,11.4,66.6,-16.57,-2.6,-21.4,20,0.929,0,0,0,0.599,clean,-9.7
EVT_0189,WELL_12,PAD_4,2025-05-09,plunger_dominant,15.32,72.14,55.2,2519,5090,1304,1.832,84.1,1,73.13,39.6,83,-24.35,17.4,-20.9,9,0.72,0,1,0,0.969,low_quality,-18
EVT_0194,WELL_06,PAD_2,2025-05-11,gas_lift,35.4,63.65,71.9,2481,4594,1266,1.392,82.9,1,48.58,33.4,39.4,13.43,-2.9,-1.4,21,0.885,0,0,1,0.901,clean,16.4
EVT_0197,WELL_09,PAD_3,2025-05-15,gas_assisted_plunger,19.34,41.76,66,1911,3814,1108,2.569,61.9,2,38.36,60.4,116,11.05,6.3,-11.5,22,0.872,0,0,0,1,clean,11.32
EVT_0198,WELL_09,PAD_3,2025-05-21,gas_lift,27.82,73.24,61,2632,2655,1046,1.589,97,0,26.26,31,43.1,-9.21,-5.3,1.2,1,0.792,0,0,0,0.827,clean,16.6
EVT_0199,WELL_04,PAD_2,2025-05-21,plunger_assisted_gas_lift,10.45,47.08,32.7,1474,4229,1284,0.659,74.9,0,22.06,34.7,64.7,11.53,-7.6,4.9,14,0.802,0,0,0,0.404,clean,0.16
EVT_0193,WELL_10,PAD_4,2025-05-21,gas_assisted_plunger,28.19,45.04,40.6,2424,3316,1330,1.006,61.4,5,37.27,58,94.5,7.4,-1.2,6.1,2,0.835,0,0,0,0.893,clean,5.98
EVT_0195,WELL_04,PAD_2,2025-05-22,plunger_assisted_gas_lift,11.95,42.06,34.8,2568,3707,882,0.996,57.6,3,12.75,54.3,85.2,1.17,-2.7,15.5,1,1,0,0,0,0.747,clean,0.42
EVT_0196,WELL_05,PAD_2,2025-05-22,gas_assisted_plunger,28.18,37.48,69.1,2408,4281,1034,1.919,79.5,,19.33,52.4,65.3,-6.02,-2.5,18,5,0.674,1,0,0,1,clean,1.46
EVT_0200,WELL_03,PAD_1,2025-05-27,plunger_assisted_gas_lift,16.9,53.84,23.4,2533,4595,1433,1.585,64.4,3,16.06,24.3,131.8,-0.79,-13.5,-2.7,8,0.937,0,0,0,0.883,clean,1.5
EVT_0192,WELL_01,PAD_1,2025-05-29,gas_lift,34.99,73.51,71,2287,4654,1106,1.095,94.5,1,36.61,4.9,56.9,5.51,-2.7,-11.6,16,0.878,0,0,1,0.769,clean,0.75
EVT_0202,WELL_03,PAD_1,2025-06-01,plunger_assisted_gas_lift,25.73,65.08,39.2,2272,4719,866,0.957,79.4,2,43.01,44.8,102.3,-6.42,5.5,-4.6,26,0.876,0,0,0,0.652,clean,-1.27
EVT_0204,WELL_01,PAD_1,2025-06-07,gas_lift,41.13,57.72,43.6,2751,3419,1222,0.989,93.8,1,29.09,30.6,23.4,11.12,-0.3,4.9,1,0.806,0,1,0,0.597,contaminated,-1.04
EVT_0201,WELL_04,PAD_2,2025-06-11,plunger_assisted_gas_lift,2.45,41.49,32.2,2380,2708,925,2.13,64.8,4,19.06,49.8,62.5,0.9,-8.5,-21,16,0.811,0,0,0,1,low_quality,0.67
EVT_0207,WELL_04,PAD_2,2025-06-12,plunger_assisted_gas_lift,10.32,53.14,34.7,2704,4711,1049,1.157,73.8,2,26.35,19.5,101,-4.41,-4,1.9,9,0.94,0,0,0,0.711,clean,2.8
EVT_0208,WELL_12,PAD_4,2025-06-14,gas_assisted_plunger,18.08,72.89,55.9,2631,3902,1060,1.757,64.2,2,49.36,31.6,116.6,2.64,-7,-2.5,5,0.798,0,0,0,1,low_quality,1
EVT_0206,WELL_08,PAD_3,2025-06-14,gas_lift,20.45,22.07,28.2,2685,3921,990,1.297,83.4,0,37.92,27,84.3,11.55,-5.3,0,3,1,0,0,0,0.588,clean,5.17
EVT_0205,WELL_02,PAD_1,2025-06-16,gas_lift,43.29,41.66,45.9,2121,3900,1094,1.276,,0,38.51,17.8,44.8,-7.85,0.2,3.5,1,0.624,0,1,0,0.658,low_quality,-1.31
EVT_0203,WELL_02,PAD_1,2025-06-21,gas_lift,35.73,51.54,57.3,2978,3411,1129,2.049,92.7,1,40.26,23.9,47.4,2.46,-1.9,6.6,44,0.93,0,0,0,1,clean,2.07
EVT_0210,WELL_12,PAD_4,2025-06-21,gas_assisted_plunger,12.81,55.8,50.1,2371,4183,1239,0.778,77.9,3,45.66,27,51.7,-2,13.7,8.5,1,0.726,0,0,0,0.707,clean,-3.24
EVT_0211,WELL_03,PAD_1,2025-06-24,plunger_assisted_gas_lift,20.18,54.82,44.1,2879,4879,926,0.951,89.7,0,32.1,24.8,78.1,-8.11,8.2,-15.2,1,0.65,0,1,0,0.534,clean,0.93
EVT_0212,WELL_06,PAD_2,2025-06-24,gas_lift,50.65,73.44,89.9,2286,4374,1677,1.497,88.6,1,42.93,23.1,25.3,-9.74,3.3,-2.7,25,0.671,0,1,1,1,low_quality,-6.07
EVT_0209,WELL_12,PAD_4,2025-06-26,plunger_dominant,25.7,66.12,57.9,1677,4300,1086,1.99,75.3,4,53.88,32.2,112.6,-7.6,-6.2,-19,34,0.762,0,0,0,1,low_quality,-4.53
EVT_0213,WELL_09,PAD_3,2025-06-30,gas_lift,20.56,44.67,72.1,2739,4117,1175,2.054,82.9,0,47.51,16.6,107.8,1.66,-6.7,-1.6,18,0.8,0,0,1,1,clean,1.61
EVT_0215,WELL_11,PAD_4,2025-07-04,plunger_dominant,17.57,32.31,62.8,2744,4301,679,2.228,73.8,0,8.28,29,85.4,6.67,5.5,-13,26,0.957,0,0,0,1,clean,3.55
EVT_0216,WELL_04,PAD_2,2025-07-07,plunger_assisted_gas_lift,17.19,56.97,39.3,2974,3911,1035,0.872,85.9,1,34.05,50.2,88.3,3.85,-3.6,-7.5,11,0.947,0,0,0,0.55,clean,-0.18
EVT_0214,WELL_04,PAD_2,2025-07-14,plunger_dominant,17.17,59.15,26.3,2683,4182,1426,0.955,76.4,0,13.66,39.1,106.8,2.55,9.8,-4,6,1,0,0,0,0.473,clean,-1.19
EVT_0217,WELL_08,PAD_3,2025-07-20,gas_assisted_plunger,29.51,24.18,17.6,2282,2950,1383,0.374,92.6,2,32.63,35.1,124.8,9.83,-15.8,-1.8,2,0.97,0,0,0,0.314,low_quality,2.58
EVT_0220,WELL_07,PAD_3,2025-07-20,gas_lift,16.52,39.37,61.1,2142,3563,937,0.919,,0,6.8,17.9,62.3,6.85,-2.2,6.9,15,0.82,0,1,0,0.602,clean,-1.98
EVT_0221,WELL_09,PAD_3,2025-07-20,gas_lift,19.1,31.09,68.7,2222,5046,838,1.99,89.6,0,70.69,22.2,70.1,-4.87,-1,2.8,4,1,0,0,0,1,clean,-4.57
EVT_0218,WELL_04,PAD_2,2025-07-21,plunger_assisted_gas_lift,10.7,53.37,41.4,2996,3816,1099,1.584,83.3,0,24.95,54.2,38.3,-1.16,7.4,-6.4,16,0.877,0,0,0,0.755,clean,1.3
EVT_0219,WELL_02,PAD_1,2025-07-24,gas_lift,48.45,56.03,38.1,1616,4073,1184,1.439,87.5,0,45.11,29.9,50.4,1.25,-4.9,2.3,8,0.811,0,0,0,0.679,low_quality,-11.86
EVT_0225,WELL_04,PAD_2,2025-07-30,plunger_assisted_gas_lift,10.05,37.5,36.6,2428,3734,1001,0.602,78.4,2,10.72,60.5,84.6,-6.48,4.1,18.6,8,0.739,0,0,0,0.517,clean,0.76
EVT_0222,WELL_02,PAD_1,2025-08-02,gas_lift,47.61,46.04,32.8,3071,3825,1034,1.204,,0,60.27,30.8,42,-10.66,-1.1,-3.3,4,0.952,0,0,0,0.558,clean,-1.46
EVT_0223,WELL_10,PAD_4,2025-08-04,plunger_assisted_gas_lift,40.79,22.89,33.5,2294,3157,1202,1.483,69.9,0,40.11,48.9,73.5,21.57,10,-8.2,22,0.826,0,1,0,0.707,contaminated,7.57
EVT_0230,WELL_05,PAD_2,2025-08-08,gas_assisted_plunger,33.54,2.29,48.2,2734,4147,868,1.446,60.5,6,11.84,53.8,90.5,-1.63,-3.1,4.6,40,1,0,0,0,1,low_quality,-1.2
EVT_0224,WELL_02,PAD_1,2025-08-09,plunger_dominant,43.12,52.86,34.3,2019,3088,1234,2.106,71.5,2,46.52,29.7,85.1,-8.57,-5.9,-5.9,16,0.801,0,0,0,1,clean,-4.13
EVT_0231,WELL_09,PAD_3,2025-08-10,gas_lift,17.38,44.48,64,2801,4073,940,1.374,92,0,30.29,28.5,64.8,5,1.3,0,42,0.879,0,0,0,0.777,clean,-11.88
EVT_0226,WELL_12,PAD_4,2025-08-16,gas_assisted_plunger,23.23,71.58,53.2,2468,4467,1062,0.847,74.6,1,33.21,44.1,94.4,1.47,2,-8.4,1,0.87,0,0,0,0.633,low_quality,-0.11
EVT_0228,WELL_08,PAD_3,2025-08-16,gas_assisted_plunger,11.99,17.58,12.4,1696,3903,989,0.846,81.1,,26.03,34,93.6,-1.19,7.5,9.3,1,0.918,0,0,0,0.476,clean,0.23
EVT_0229,WELL_09,PAD_3,2025-08-16,plunger_assisted_gas_lift,25.55,58.05,71.3,2622,4251,1184,1.556,72.4,1,49.34,54.1,83.2,-6.08,-6.4,-15.8,3,0.82,0,0,1,0.976,clean,2.06
EVT_0227,WELL_05,PAD_2,2025-08-26,plunger_assisted_gas_lift,22.65,15.86,59.9,1750,2895,903,2.427,52.2,2,15.57,22,97.5,-5.9,-6.3,6.5,18,0.856,0,0,0,1,low_quality,-1.64
EVT_0234,WELL_08,PAD_3,2025-08-28,gas_lift,16.87,24.32,31.8,2275,3449,997,0.604,92.3,4,5.51,14.3,39.6,9.5,2.7,-6.4,13,0.61,1,0,0,0.586,contaminated,7.61
EVT_0237,WELL_07,PAD_3,2025-08-29,gas_assisted_plunger,29.69,43.7,46.2,2008,3834,986,0.703,62.9,1,34.36,38.1,70.4,25,1.3,-16.5,1,0.79,0,0,0,0.571,clean,4.03
EVT_0233,WELL_03,PAD_1,2025-08-29,plunger_assisted_gas_lift,23.78,68.29,48.1,1986,4761,1010,0.623,98.2,0,29,31.1,107.4,-7.83,-3.7,-21.8,10,0.975,0,0,0,0.422,clean,-0.02
EVT_0232,WELL_07,PAD_3,2025-09-05,gas_assisted_plunger,35.37,30.01,53.5,1769,3434,874,0.756,76.4,4,11.22,51.9,96.8,15.99,8.5,5.2,28,0.787,0,0,0,0.779,clean,4.45
EVT_0235,WELL_06,PAD_2,2025-09-05,plunger_dominant,39.93,74.31,82.2,2224,4435,1213,2.681,62.8,3,28.46,54.4,100.2,3.67,-4.8,-14.3,6,0.626,1,0,1,1,contaminated,5.42
EVT_0238,WELL_08,PAD_3,2025-09-06,gas_lift,20.55,33.64,28,3000,4090,803,1.552,96.4,0,37.08,18.6,50.2,-5.15,2.1,-5.3,8,0.974,0,0,0,0.65,clean,0.2
EVT_0240,WELL_10,PAD_4,2025-09-12,gas_assisted_plunger,25.29,37.12,35.1,3211,3185,1044,1.138,82.3,1,22.71,53.3,82.9,-6.99,0,4.8,1,0.82,0,0,0,0.629,low_quality,-2.41
